Month,Year,Headline,Blurb,PDF_Link,Sentiment
July,2024,Loans Mature Into Shaky Office Market,"<b>Loans Mature Into Shaky Office Market</b>
<p>Office loan defaults are rising, demand for space remains weak, and valuations are falling. Yet hundreds of billions of dollars in office loans are set to mature over the next three years. Read about what this means for the sector and get the latest data in this month's Yardi Matrix Office Monthly.</p>",,3.0
June,2024,Office Distress Slowly Plays Out,"<b>Office Distress Slowly Plays Out</b>
<p>The future of office is growing clearer in 2024, with owners coming to terms with lower utilization rates and reduced valuations. Read about what’s in store for the sector and get the latest data in this month's National Office Report.</p>",,4.0
May,2024,Office Struggles to Cover Debt Obligations,"<b>Office Struggles to Cover Debt Obligations</b>
<p>Debt service coverage ratios for office buildings have been declining in recent years. New research from Yardi Matrix shows many markets at risk of distress from offices that lack the income to cover their debt obligations.</p>",,2.0
April,2024,Coworking Grows in the Suburbs,"<b>Coworking Grows in the Suburbs</b>
<p>Flex space has increased to 124.8 million square feet in the past year, and the vast majority of the growth has been in suburban submarkets. Read about this trend and get the latest data in this month's Yardi Matrix Office Monthly!</p>",,7.0
March,2024,How Office Utilization Varies Among Markets,"<b>How Office Utilization Varies Among Markets</b>
<p>No metric that attempts to quantify the impact of remote work is perfect, but comparing the available data paints a more complete picture of how office utilization looks in 2024.</p>",,N/A
February,2024,Office Valuations Slide Amid Turmoil,"<b>Office Valuations Slide Amid Turmoil</b>
<p>Falling demand and rising interest rates have impacted office valuations and consequently, prices. More than one in five properties sold since the start of 2023 traded at a lower price than their previous sale. And discounted sales are likely to rise this year.</p>",,2.0
January,2024,Office Outlook Remains Turbulent,"<b>Office Outlook Remains Turbulent</b> 
<p>This year will be another difficult one for the office sector. Read about this year's outlook and get the latest data in this month's Yardi Matrix Office Monthly.</p>",,3.0
December,2023,Tricky Time for Office Loan Maturities,"<b>Tricky Time for Office Loan Maturities</b>
<p>Office loan defaults are set to rise in coming quarters. Demand is down, expenses are up and nearly $150 billion in office loans are maturing before the end of next year. Find out what this means for the sector and get the latest data in Yardi Matrix December National Office Report.</p>",,3.0
November,2023,"Conversion Activity Increases, but Roadblocks Remain","<b>Conversion Activity Increases, but Roadblocks Remain</b>
<p>As office vacancies continue to rise, conversions are gaining greater consideration. Despite a new plan from the White House, though, office-to-residential conversion faces an uphill battle. Read about the challenges and get the latest data in this month’s Yardi Matrix Office Monthly.</p>",,5.0
October,2023,Placemaking Drives Suburban Success,"<b>Placemaking Drives Suburban Success</b>
<p>Companies that move their office to the suburbs are increasingly looking towards vibrant mixed-use developments that mimic city centers. Read about this trend and get the latest data in this month’s Yardi Matrix Office Monthly</p>",,8.0
