Market,Year,Month,Listing Rate,Total Vacancy Rate
National,2020,11,37.76,14.2
Bay Area,2020,11,54.21,14.3
New Jersey,2020,11,32.84,17.0
Nashville,2020,11,30.72,16.9
Austin,2020,11,42.11,11.5
Miami,2020,11,42.54,15.1
Washington DC,2020,11,41.21,15.5
San Diego,2020,11,38.43,14.2
Charlotte,2020,11,28.78,10.9
Philadelphia,2020,11,29.29,12.7
Houston,2020,11,29.52,22.1
Orlando,2020,11,21.41,14.7
Los Angeles,2020,11,39.32,13.3
Denver,2020,11,28.83,14.3
Phoenix,2020,11,27.4,17.4
Portland,2020,11,29.66,12.5
Tampa,2020,11,28.65,12.6
Twin Cities,2020,11,26.8,13.8
Dallas,2020,11,28.5,18.6
Manhattan,2020,11,82.4,10.3
Atlanta,2020,11,27.01,17.8
Seattle,2020,11,36.59,10.9
Chicago,2020,11,27.93,15.5
Boston,2020,11,34.37,10.8
Brooklyn,2020,11,50.45,13.6
San Francisco,2020,11,64.34,10.9
National,2020,8,38.07,13.6
San Diego,2020,8,42.61,14.3
Bay Area,2020,8,53.1,13.8
Miami,2020,8,42.35,12.6
Manhattan,2020,8,86.62,8.8
Denver,2020,8,29.07,12.9
Austin,2020,8,42.36,10.6
New Jersey,2020,8,32.28,18.3
Los Angeles,2020,8,38.74,12.5
Atlanta,2020,8,26.87,17.5
Orlando,2020,8,21.42,12.5
Charlotte,2020,8,28.66,10.9
Houston,2020,8,29.96,22.0
Washington DC,2020,8,39.9,15.1
Phoenix,2020,8,27.69,17.5
Portland,2020,8,29.55,12.5
Twin Cities,2020,8,27.27,12.6
Philadelphia,2020,8,28.46,12.6
Dallas,2020,8,27.68,18.9
Chicago,2020,8,28.32,14.2
Boston,2020,8,34.14,10.1
Nashville,2020,8,29.91,12.3
Brooklyn,2020,8,51.03,13.9
Seattle,2020,8,35.96,9.6
Tampa,2020,8,27.43,12.5
San Francisco,2020,8,64.18,9.8
National,2022,11,38.06,16.2
Charlotte,2022,11,34.22,12.6
Orlando,2022,11,24.57,15.9
Miami,2022,11,49.63,9.8
San Diego,2022,11,43.73,14.5
San Francisco,2022,11,67.23,19.1
Seattle,2022,11,37.56,18.1
Atlanta,2022,11,30.29,20.7
Nashville,2022,11,31.2,17.8
Chicago,2022,11,27.89,19.3
Phoenix,2022,11,27.7,15.4
Philadelphia,2022,11,30.27,12.9
Washington DC,2022,11,41.53,14.3
Houston,2022,11,30.16,26.3
Bay Area,2022,11,55.77,16.2
Twin Cities,2022,11,26.13,14.4
Manhattan,2022,11,74.73,14.8
Los Angeles,2022,11,42.32,14.8
Boston,2022,11,37.53,8.9
New Jersey,2022,11,33.01,17.5
Dallas,2022,11,28.76,18.2
Denver,2022,11,29.92,18.7
Austin,2022,11,41.74,18.3
Tampa,2022,11,27.53,12.0
Portland,2022,11,28.65,15.6
Brooklyn,2022,11,47.12,17.7
National,2023,10,37.77,17.8
Boston,2023,10,45.61,10.3
